Condition	percentile	N	phenotype_mean	CI
Low LDL	1	181	169.073205958958	6.14711837543713
Low LDL	2	181	159.303903445146	5.29371775953554
Low LDL	3	181	157.393919810576	5.06764357134705
Low LDL	4	181	163.923991775848	5.88285071323888
Low LDL	5	181	159.958851771902	5.13109804523167
Low LDL	6	181	159.010032809787	5.74358691589384
Low LDL	7	181	155.50235554854	5.07181707639704
Low LDL	8	181	161.796409273875	5.23601648457508
Low LDL	9	181	162.957073910813	6.07417702322885
Low LDL	10	181	155.280697399369	5.13495596881451
Low LDL	11	181	159.569511712707	5.55589451243235
Low LDL	12	181	162.335530726125	5.22581207966486
Low LDL	13	181	157.930813235991	4.57533545026256
Low LDL	14	181	160.200241692976	5.56420153805178
Low LDL	15	181	159.317958326756	5.13471674621176
Low LDL	16	181	154.056198267561	5.14037356351874
Low LDL	17	181	160.020320895817	6.09294921693164
Low LDL	18	181	154.583614948698	4.9024951984857
Low LDL	19	181	158.693332529597	5.25335252832419
Low LDL	20	181	155.001644668508	5.18729336533974
Low LDL	21	181	156.840316183899	5.12756991697795
Low LDL	22	181	154.082995631413	5.48351356588814
Low LDL	23	181	157.380444826361	5.44525268353187
Low LDL	24	181	156.240336026046	5.40178972613266
Low LDL	25	181	153.009346124704	5.18996340718035
Low LDL	26	181	155.821466981058	6.09629610575434
Low LDL	27	181	160.091800880032	5.85031248639037
Low LDL	28	181	156.565658464878	5.25809402455408
Low LDL	29	181	160.583981164167	5.87555539513195
Low LDL	30	181	154.521779573796	5.10688700052418
Low LDL	31	180	157.779814821429	5.99887109096462
Low LDL	32	180	157.373472916667	5.42533955140909
Low LDL	33	180	151.25810397619	4.81241165790922
Low LDL	34	180	151.331638357143	4.11580024137352
Low LDL	35	180	149.85261827381	4.79709738811572
Low LDL	36	180	154.367509571429	5.62616102569092
Low LDL	37	180	154.22409297619	4.98206684890059
Low LDL	38	180	152.750136821429	4.59428878462265
Low LDL	39	180	152.302378119048	5.0409008928305
Low LDL	40	180	152.190634095238	5.70454969046127
Low LDL	41	180	150.888268392857	5.36426232402527
Low LDL	42	180	152.87096522619	5.54210594912618
Low LDL	43	180	149.909457035714	5.80024087934824
Low LDL	44	180	156.05721977381	5.56759941835581
Low LDL	45	180	154.479176869048	4.97196682248764
Low LDL	46	180	151.076585154762	5.58708996494572
Low LDL	47	180	153.227527178571	5.2246834412682
Low LDL	48	180	151.986174142857	5.17721563906658
Low LDL	49	180	154.91226552381	5.41191781492599
Low LDL	50	180	152.350516130952	6.22060486567663
Low LDL	51	180	147.059478035714	5.02947134037053
Low LDL	52	180	153.523767	4.75683802744239
Low LDL	53	180	154.636803154762	5.99392519089086
Low LDL	54	180	157.267452666667	6.22521397245065
Low LDL	55	180	155.568550666667	5.7815899652422
Low LDL	56	180	151.090580011905	5.08144073865552
Low LDL	57	180	153.737004428571	5.92184745695215
Low LDL	58	180	151.250554119048	5.21882472071696
Low LDL	59	180	148.3039615	5.75908292723391
Low LDL	60	180	152.964479107143	4.82841934431219
Low LDL	61	180	151.355868488095	5.29033035168044
Low LDL	62	180	153.008750119048	4.86907781820617
Low LDL	63	180	149.264450642857	5.35270406945555
Low LDL	64	180	152.993328154762	5.52922608603377
Low LDL	65	180	149.18330502381	5.57408871640223
Low LDL	66	180	145.533025821429	4.35000060829462
Low LDL	67	180	154.251699059524	6.05306459404012
Low LDL	68	180	152.779599678571	5.49854893320673
Low LDL	69	180	146.871621630952	5.00021760774064
Low LDL	70	180	151.783095261905	5.6837488907739
Low LDL	71	180	147.893967428571	4.97600255492969
Low LDL	72	180	152.080593392857	5.58748673883449
Low LDL	73	180	148.211982142857	5.69680877334283
Low LDL	74	180	150.533563214286	5.36658195953667
Low LDL	75	180	147.171452238095	4.79193116266027
Low LDL	76	180	153.876860928571	5.42111485067837
Low LDL	77	180	148.592482666667	4.93923702115008
Low LDL	78	180	152.973716940476	5.19316894943817
Low LDL	79	180	149.207090142857	5.41926116360152
Low LDL	80	180	147.869798678571	4.60557310313447
Low LDL	81	180	150.216024202381	5.29404983229748
Low LDL	82	180	147.037304166667	4.72171294330843
Low LDL	83	180	146.553944511905	4.83623133576824
Low LDL	84	180	145.346826702381	5.2024874247556
Low LDL	85	180	148.318846380952	4.77827826008852
Low LDL	86	180	142.8540695	4.42254123425928
Low LDL	87	180	145.742933333333	4.94079852252054
Low LDL	88	180	145.539148571429	5.64561123865234
Low LDL	89	180	146.482573809524	5.63282555851556
Low LDL	90	180	145.072745404762	4.72864542541135
Low LDL	91	180	149.050445952381	5.57768164574204
Low LDL	92	180	145.591168928571	5.01128551089785
Low LDL	93	180	142.802233285714	5.13414831468834
Low LDL	94	180	140.884815095238	4.6951435598863
Low LDL	95	180	141.244400059524	4.60612132897405
Low LDL	96	180	144.125315059524	5.42013631340142
Low LDL	97	180	143.668333869048	5.01514315886198
Low LDL	98	180	143.199214595238	5.39683245497111
Low LDL	99	180	140.25125625	4.49678207729428
Low LDL	100	180	134.858141630952	4.48440814239924
Low LDL	Carrier	90	90.5951859761905	6.3717766397225
High LDL	1	181	135.93773144041	4.47452672979298
High LDL	2	181	140.883249033149	4.38444580804197
High LDL	3	181	143.695461452249	5.39660009976579
High LDL	4	181	144.417967825572	4.97482531199922
High LDL	5	181	144.709000015785	5.51598786360073
High LDL	6	181	141.293190710339	4.15666992463611
High LDL	7	181	141.269643823994	4.67396259263651
High LDL	8	181	143.424206815312	5.20628656992476
High LDL	9	181	146.953614968429	5.22340232153253
High LDL	10	181	149.208561250987	5.62361329211955
High LDL	11	181	146.442298070245	5.20099429483207
High LDL	12	181	143.698284636938	5.23297814311593
High LDL	13	181	146.506010481452	5.52007071335214
High LDL	14	181	146.260866487766	4.72167020338736
High LDL	15	181	144.587313125493	4.53914775717849
High LDL	16	181	147.495529084451	4.75568444388015
High LDL	17	181	146.993887316496	5.26094077361084
High LDL	18	181	146.394777004736	4.66533803804799
High LDL	19	181	147.174784782952	4.81702688378162
High LDL	20	181	148.535941314128	5.10473009044852
High LDL	21	181	148.622437588792	4.59614447182864
High LDL	22	180	151.546072714286	5.55978969108587
High LDL	23	180	151.673223357143	5.04970881147063
High LDL	24	180	148.564370190476	5.23877934263034
High LDL	25	180	154.302276964286	5.0655366263725
High LDL	26	180	146.428174940476	4.81067252848575
High LDL	27	180	151.160876547619	5.4478555590916
High LDL	28	180	148.126938833333	5.70178607459192
High LDL	29	180	150.913603380952	5.61662833460993
High LDL	30	180	150.698616595238	5.21882746929699
High LDL	31	180	150.512647654762	5.67313595400543
High LDL	32	180	146.30013427381	4.97153085650926
High LDL	33	180	154.194798916667	5.84208572186225
High LDL	34	180	154.03525447619	5.60027355727494
High LDL	35	180	145.146448583333	4.51091539509301
High LDL	36	180	150.575271571429	5.67349790948332
High LDL	37	180	151.871084857143	5.44049236099838
High LDL	38	180	149.933395607143	5.19734484086412
High LDL	39	180	153.653280809524	4.99595690922772
High LDL	40	180	150.859557452381	5.03808921696685
High LDL	41	180	152.151611154762	5.05275526766442
High LDL	42	180	149.672357761905	5.64848315821798
High LDL	43	180	152.062593428571	5.36586609519447
High LDL	44	180	153.638626107143	5.74857973088334
High LDL	45	180	152.678597321429	5.26186701907427
High LDL	46	180	155.567108214286	5.69377731671754
High LDL	47	180	156.472661404762	6.25382952935951
High LDL	48	180	155.915920821429	5.93200154394761
High LDL	49	180	153.252171630952	4.87448160535291
