Condition	percentile	N	phenotype_mean	CI
High LDL	50	180	147.484602511905	5.1176050710685
High LDL	51	180	153.208944095238	6.27011620185968
High LDL	52	180	155.152894202381	5.20072395163747
High LDL	53	180	152.402812702381	5.23963227588743
High LDL	54	180	153.706099119048	5.44275743290353
High LDL	55	180	151.439285202381	5.33141014388443
High LDL	56	180	155.977670059524	5.17644681784427
High LDL	57	180	153.500518964286	5.55527847382216
High LDL	58	180	151.287213892857	5.62253620521069
High LDL	59	180	153.641802571429	5.45190398651447
High LDL	60	180	150.631665321429	5.30452492596241
High LDL	61	180	152.710776285714	5.71147644433043
High LDL	62	180	152.601073178571	5.01418733334577
High LDL	63	180	154.225197833333	4.6218878937158
High LDL	64	180	153.948645952381	4.89786499188521
High LDL	65	180	153.706283261905	5.66462900276419
High LDL	66	180	151.413965559524	4.79955374867775
High LDL	67	180	149.343371202381	4.02764017833757
High LDL	68	180	153.061154107143	5.18816243991195
High LDL	69	180	157.693743380952	5.51111210270446
High LDL	70	180	157.586526202381	5.70126887098944
High LDL	71	180	154.681350380952	5.04737019431177
High LDL	72	180	161.343746369048	5.8888606834609
High LDL	73	180	156.768563630952	5.22275692357526
High LDL	74	180	160.921245928571	6.00436115471153
High LDL	75	180	158.800948345238	7.07352648486379
High LDL	76	180	155.613358761905	5.08429723900974
High LDL	77	180	153.635418952381	5.28500506484249
High LDL	78	180	158.71094852381	5.42264269123074
High LDL	79	180	152.104792833333	5.35950996576764
High LDL	80	180	157.33204077381	5.1142535947492
High LDL	81	180	156.715100821429	5.25607700761158
High LDL	82	180	157.60498652381	5.14721731206392
High LDL	83	180	155.513476607143	4.9833816503614
High LDL	84	180	158.77282052381	6.14354595229334
High LDL	85	180	155.890846702381	5.32651156471445
High LDL	86	180	158.243778095238	5.07581789462069
High LDL	87	180	160.66554822619	5.57685208105102
High LDL	88	180	157.688157714286	4.62123923285673
High LDL	89	180	163.427829190476	5.40988511589762
High LDL	90	180	159.3326455	5.59360182446934
High LDL	91	180	156.493116607143	5.14302266647767
High LDL	92	180	163.805920511905	6.01031703161075
High LDL	93	180	161.148815809524	5.36821917803403
High LDL	94	180	156.278421380952	5.10253140515912
High LDL	95	180	159.362660785714	5.63021766676101
High LDL	96	180	160.660085321429	5.30356642842588
High LDL	97	180	163.470151357143	5.76366604264493
High LDL	98	180	157.216936142857	5.08691661179469
High LDL	99	180	160.064751464286	5.28036647042709
High LDL	100	180	169.376103833333	6.19617614310876
High LDL	Carrier	83	202.17601151463	12.7154233319443
High HDL	1	171	49.1639299122807	1.65854430712451
High HDL	2	171	50.9631025438596	1.98189604344527
High HDL	3	171	51.7476964912281	1.95535954420832
High HDL	4	171	51.0312838596491	2.22152790541613
High HDL	5	171	52.24317	2.07909747153744
High HDL	6	171	54.1027221052632	1.91455741656801
High HDL	7	171	52.48808	2.13227316961397
High HDL	8	171	56.1553980701754	2.12073748254671
High HDL	9	171	53.188775877193	1.93476829261733
High HDL	10	171	55.7137459649123	1.90022232240795
High HDL	11	171	53.6416219298246	2.06853167961606
High HDL	12	171	55.2058347368421	2.26786411542892
High HDL	13	171	55.6090429824561	2.27708309916179
High HDL	14	171	55.1660340350877	2.32397849519096
High HDL	15	171	53.5836169298246	2.08475067183388
High HDL	16	171	53.3522753508772	1.93641035201965
High HDL	17	171	56.7457374561404	2.26882239233821
High HDL	18	171	55.3299857894737	2.14490535350843
High HDL	19	171	56.6960996491228	2.13579591598828
High HDL	20	171	54.4158134210526	2.14076089000987
High HDL	21	171	55.2564901754386	2.19338714663259
High HDL	22	171	56.3899056140351	2.22742113013827
High HDL	23	171	55.6083645614035	2.19971534390831
High HDL	24	171	54.9522183333333	2.02020307445858
High HDL	25	171	53.9687339473684	1.99402179747906
High HDL	26	171	56.2835065789474	2.21132651441025
High HDL	27	171	56.8170847368421	2.06972043113625
High HDL	28	171	55.8166398245614	2.33792197805115
High HDL	29	171	56.3558714912281	2.41819486465539
High HDL	30	171	56.7120425438596	2.41153377571277
High HDL	31	171	55.9983435964912	1.99074360527702
High HDL	32	171	59.1394330701754	2.14985443090396
High HDL	33	171	55.5615535087719	2.30789455710521
High HDL	34	171	55.9804785087719	1.95570991884596
High HDL	35	171	58.3514470175439	2.29835955377938
High HDL	36	171	58.9138580701754	2.10569235976895
High HDL	37	171	56.7295684210526	2.14511489982641
High HDL	38	171	58.2059257017544	2.32228618983716
High HDL	39	171	56.8149364035088	2.393610867932
High HDL	40	171	56.6823050877193	2.31185895342632
High HDL	41	171	57.1359426315789	2.21907778091033
High HDL	42	171	55.6971246491228	1.95495139118442
High HDL	43	171	55.5639279824561	2.34380202809919
High HDL	44	171	56.8686447368421	2.33299743488991
High HDL	45	171	56.5270597368421	2.19977373706491
High HDL	46	171	58.0129149122807	2.5970107628131
High HDL	47	171	57.3386774561404	2.22174486742611
High HDL	48	171	57.448920877193	2.26146519042822
High HDL	49	171	57.6227097368421	2.45624598920982
High HDL	50	171	55.875323245614	2.19790738004846
High HDL	51	171	57.2263987719298	2.25002820562611
High HDL	52	171	55.9145585964912	2.17372053461397
High HDL	53	171	57.6453237719298	2.25372790221051
High HDL	54	171	57.9798984210526	2.44658689801815
High HDL	55	171	59.4988831578947	2.218013738069
High HDL	56	171	58.039034122807	2.34883839229008
High HDL	57	171	57.6596836842105	2.15172436895428
High HDL	58	171	57.1522247368421	2.19769376477295
High HDL	59	171	58.2925374561404	2.0626156161377
High HDL	60	171	57.2874566666667	2.08151964659191
High HDL	61	171	58.9876928947368	2.34707703836257
High HDL	62	171	58.2458394736842	2.18376786228222
High HDL	63	171	58.3002262280702	2.59299177447865
High HDL	64	171	57.5790646491228	2.1696570570628
High HDL	65	171	59.9665414035088	2.30914938721135
High HDL	66	171	58.9659834210526	2.39621525188697
High HDL	67	171	57.5173283333333	2.30316524838794
High HDL	68	171	58.8630895614035	2.15796855578249
High HDL	69	171	58.1516520175439	2.30789761298679
High HDL	70	171	57.5189113157895	2.17046291769586
High HDL	71	171	58.8574360526316	2.34398606146326
High HDL	72	171	59.6722197368421	2.39793766933926
High HDL	73	171	60.1005295614035	2.27972606226635
High HDL	74	171	58.5020564912281	2.2621152074267
High HDL	75	171	59.9562520175439	2.34535182359682
High HDL	76	171	59.2538600877193	2.16427027388199
High HDL	77	171	58.024335	2.21748854803985
High HDL	78	171	60.1768519298246	2.24487804054119
High HDL	79	171	58.4501572807018	2.39204654607061
High HDL	80	171	58.7682236842105	2.16453358456147
High HDL	81	171	58.9759335964912	2.26045188486335
High HDL	82	171	60.526012631579	2.42374735645367
High HDL	83	171	60.3694104385965	2.4919937923829
High HDL	84	171	57.7105652631579	2.09834661568024
High HDL	85	171	61.1559265789474	2.37679411540161
High HDL	86	171	58.5730645614035	2.19441080003726
High HDL	87	171	61.1320687719298	2.33071096348422
High HDL	88	171	59.6958514035088	2.33282643013467
High HDL	89	171	59.3760889473684	2.3772308507114
High HDL	90	171	60.4810107017544	2.39287549791156
High HDL	91	171	60.6026742105263	2.30858985737323
High HDL	92	171	64.1665330701754	2.54678428173616
High HDL	93	171	59.1423728947368	2.20805318360388
High HDL	94	170	62.4801426176471	2.67251220861974
High HDL	95	170	61.9227259411765	2.3360554821701
High HDL	96	170	63.0882852352941	2.47773607214935
High HDL	97	170	63.8202855882353	2.44096179268878
High HDL	98	170	63.6491139705882	2.48474701699667
High HDL	99	170	64.1553497647059	2.61230524912486
High HDL	100	170	64.3233367941177	2.30211842704844
High HDL	Carrier	20	76.972635	11.54412827858
High triglycerides	1	181	131.535488342541	10.0671556368718
High triglycerides	2	181	133.66030480663	12.2674039708965
High triglycerides	3	181	135.424551850829	8.76560195885352
High triglycerides	4	181	144.957729254144	11.1233529365869
High triglycerides	5	181	137.181674723757	10.1378353881244
High triglycerides	6	181	145.39660698895	13.6286693500236
High triglycerides	7	181	142.284423563536	9.89689946875695
High triglycerides	8	181	135.944486823204	9.76832638435364
High triglycerides	9	181	143.232226187845	11.0025960837281
High triglycerides	10	181	141.564666381215	9.24876603799741
High triglycerides	11	181	140.099433038674	10.8442516743633
High triglycerides	12	181	151.466012320442	13.4802832604735
High triglycerides	13	181	143.85630359116	13.0172578102129
High triglycerides	14	181	151.431413314917	10.4979649703742
High triglycerides	15	181	144.546283176796	10.5608285492009
High triglycerides	16	181	152.048971022099	10.7066861849861
High triglycerides	17	181	145.206254889503	14.1939804091578
High triglycerides	18	181	158.99539781768	10.9465485027415
High triglycerides	19	181	148.233437596685	10.9604871983659
High triglycerides	20	181	144.091343674033	10.7013386575561
High triglycerides	21	181	152.615925524862	12.3619637295188
High triglycerides	22	181	149.976959779006	11.1120027467576
High triglycerides	23	180	153.902879	10.3861047075447
High triglycerides	24	180	148.439166472222	11.0442278131891
High triglycerides	25	180	139.698841527778	10.4345472751553
High triglycerides	26	180	148.415895138889	10.433290418068
High triglycerides	27	180	152.913282916667	11.3257908077266
High triglycerides	28	180	152.026251472222	11.938421122908
High triglycerides	29	180	156.894764916667	12.9117773440726
High triglycerides	30	180	157.53698425	13.1185683997097
High triglycerides	31	180	164.668663805556	16.3765085177168
High triglycerides	32	180	160.638859055556	12.428995776851
High triglycerides	33	180	147.257466111111	11.3096843258616
High triglycerides	34	180	150.557393277778	10.8714095513172
High triglycerides	35	180	153.043040861111	12.5422066128235
High triglycerides	36	180	161.841558611111	13.1290426368589
High triglycerides	37	180	160.208570944444	9.9726321674247
High triglycerides	38	180	164.019743833333	14.2339023448186
High triglycerides	39	180	156.057908666667	12.2302199272115
High triglycerides	40	180	162.986991583333	11.4049145858664
High triglycerides	41	180	165.954549694444	13.219285390442
High triglycerides	42	180	151.956119083333	10.484419593611
High triglycerides	43	180	153.124548416667	11.0954222636599
High triglycerides	44	180	168.265170222222	14.8202818344082
High triglycerides	45	180	151.088726444444	11.0906327875343
High triglycerides	46	180	167.551704138889	15.0052609170102
High triglycerides	47	180	162.781905722222	13.1538021601378
High triglycerides	48	180	152.322179472222	12.1485140543431
High triglycerides	49	180	162.294394444444	13.6370113672291
High triglycerides	50	180	151.605630805556	12.1498903068276
High triglycerides	51	180	161.55988575	12.3822221965743
High triglycerides	52	180	166.941482888889	11.6736323339759
High triglycerides	53	180	161.242958555556	10.8883906380125
High triglycerides	54	180	165.528053305556	13.060082139617
High triglycerides	55	180	165.574914361111	12.3333247593199
High triglycerides	56	180	169.939823416667	13.7719534536027
High triglycerides	57	180	163.04734075	13.2820152629504
High triglycerides	58	180	165.773343	13.7326209256188
High triglycerides	59	180	168.157149555556	12.4379108818646
High triglycerides	60	180	172.449726444444	14.9719953020682
High triglycerides	61	180	166.923074222222	12.8078439282539
High triglycerides	62	180	171.027092527778	13.5288271253976
High triglycerides	63	180	170.347202	12.8260283683501
High triglycerides	64	180	176.751898416667	13.1103358228917
High triglycerides	65	180	171.321269388889	14.6817373180566
High triglycerides	66	180	162.772093555556	12.2745690865615
High triglycerides	67	180	167.076638972222	13.0995036602786
High triglycerides	68	180	159.546582555556	14.6563608050632
High triglycerides	69	180	184.260174138889	17.6897963270644
High triglycerides	70	180	168.508303555556	12.6732949846125
High triglycerides	71	180	172.281949972222	13.6607051667687
High triglycerides	72	180	171.999293	11.9876496141099
High triglycerides	73	180	176.062166777778	15.2514495023692
High triglycerides	74	180	169.102084361111	11.4768097738975
High triglycerides	75	180	177.869573666667	14.5349726533895
High triglycerides	76	180	172.910001	13.7099674731062
High triglycerides	77	180	173.223208833333	15.1278833496179
High triglycerides	78	180	177.663185305556	15.2195251048845
High triglycerides	79	180	181.775004138889	15.4533694451102
High triglycerides	80	180	180.657097333333	12.9671464373016
High triglycerides	81	180	185.180187777778	13.3815618530352
High triglycerides	82	180	171.780458527778	12.3969986626126
High triglycerides	83	180	197.218008555556	15.1443833805473
High triglycerides	84	180	182.885906388889	13.4969427666428
High triglycerides	85	180	184.936215055556	16.9305205664994
High triglycerides	86	180	185.761450111111	16.4289108511432
High triglycerides	87	180	182.999672527778	17.1222749455646
High triglycerides	88	180	181.089382611111	12.9821610718568
High triglycerides	89	180	190.2480995	17.1405316640986
High triglycerides	90	180	182.665682583333	13.7406834462705
High triglycerides	91	180	202.740955888889	15.4855439050888
High triglycerides	92	180	189.647372027778	18.4130746349516
High triglycerides	93	180	176.533309972222	14.9237625541589
High triglycerides	94	180	186.782581166667	13.889326701319
High triglycerides	95	180	188.634938777778	15.9241983747088
High triglycerides	96	180	183.779971333333	14.5942611379076
High triglycerides	97	180	191.607663472222	14.2575666587593
High triglycerides	98	180	200.602786361111	15.1615340712362
High triglycerides	99	180	195.100114611111	16.7848355665167
High triglycerides	100	180	212.048765611111	17.0900744946379
High triglycerides	Carrier	54	278.490660648148	48.2444237344925
Obesity	1	191	25.8958712041885	0.560294390598288
Obesity	2	191	26.2658544502618	0.574927158221362
Obesity	3	190	25.6824418421053	0.560571543119586
Obesity	4	190	25.843955	0.534875266147413
Obesity	5	190	25.8392686842105	0.523569855025907
Obesity	6	190	26.1168092105263	0.581210843402852
Obesity	7	190	26.6342578947368	0.568822442894391
Obesity	8	190	27.0225692105263	0.626317266360765
Obesity	9	190	26.3717026315789	0.525823845372384
Obesity	10	190	26.9369973684211	0.652084014873096
Obesity	11	190	27.0349894736842	0.607972720691887
Obesity	12	190	26.7613723684211	0.569593185481754
Obesity	13	190	26.2369542105263	0.55091112824036
Obesity	14	190	26.6771118421053	0.559862900398135
Obesity	15	190	27.0894323684211	0.634286447498819
Obesity	16	190	26.4683218421053	0.571021087188744
Obesity	17	190	27.1040921052632	0.597710458093295
Obesity	18	190	26.7459460526316	0.554636712929685
Obesity	19	190	26.6822952631579	0.619449513118378
Obesity	20	190	26.8205271052632	0.611067323424756
Obesity	21	190	26.7364189473684	0.549697532025636
Obesity	22	190	26.8712326315789	0.618986910656725
Obesity	23	190	26.5983113157895	0.514639307786682
Obesity	24	190	27.3407628947368	0.61744928456603
Obesity	25	190	26.9290505263158	0.565579583124416
Obesity	26	190	26.6747189473684	0.566171962512959
Obesity	27	190	26.970695	0.593178429005783
Obesity	28	190	26.8622957894737	0.588488570268945
Obesity	29	190	27.0510705263158	0.605149200689581
Obesity	30	190	26.73132	0.582141047667623
Obesity	31	190	26.9937707894737	0.591431445997576
Obesity	32	190	26.5367789473684	0.614262281255986
Obesity	33	190	26.5621331578947	0.51462258480409
Obesity	34	190	26.2976147368421	0.509807449165364
Obesity	35	190	27.6391773684211	0.636059974204772
Obesity	36	190	27.2935752631579	0.619000332341748
Obesity	37	190	27.1759031578947	0.594410111579215
Obesity	38	190	27.3988705263158	0.619869692447513
Obesity	39	190	27.4179742105263	0.633156245129962
Obesity	40	190	27.7183818421053	0.649131110070895
Obesity	41	190	27.8017936842105	0.641591993897267
Obesity	42	190	27.1573318421053	0.613861585388795
Obesity	43	190	27.5627165789474	0.654248233958714
Obesity	44	190	27.6492757894737	0.651187304136862
Obesity	45	190	27.5961884210526	0.683569070243843
Obesity	46	190	27.7891394736842	0.615678994540955
Obesity	47	190	27.5872494736842	0.681344037273115
Obesity	48	190	27.3651886842105	0.603015137674895
Obesity	49	190	27.7776810526316	0.723850594738459
Obesity	50	190	27.7191834210526	0.676529743625163
Obesity	51	190	27.1549860526316	0.627320539193128
Obesity	52	190	26.9217521052632	0.576232340992353
Obesity	53	190	27.697205	0.702492714382919
Obesity	54	190	27.1820131578947	0.649915247737037
Obesity	55	190	26.7589594736842	0.595981102130471
Obesity	56	190	27.6437631578947	0.591132375255511
Obesity	57	190	27.7657023684211	0.6352525141882
Obesity	58	190	28.1688434210526	0.699670395491377
Obesity	59	190	27.2179618421053	0.679458905713015
Obesity	60	190	27.7049681578947	0.575850187722292
Obesity	61	190	27.3468136842105	0.644872665405887
Obesity	62	190	27.1391581578947	0.563312830919286
Obesity	63	190	27.7370828947368	0.619209197388049
Obesity	64	190	28.1764539473684	0.670524533052428
Obesity	65	190	27.3380742105263	0.635596677588519
Obesity	66	190	27.2713355263158	0.629368909463361
Obesity	67	190	27.8493544736842	0.657492748396882
Obesity	68	190	27.8474415789474	0.650887189919465
Obesity	69	190	27.61374	0.669697167205273
Obesity	70	190	27.6778526315789	0.591039906977571
Obesity	71	190	27.7074718421053	0.638320607673808
Obesity	72	190	27.8179326315789	0.594296899410625
Obesity	73	190	27.2352839473684	0.616120602806106
Obesity	74	190	28.1128084210526	0.679384874656966
Obesity	75	190	27.0812686842105	0.623118293595236
Obesity	76	190	28.0446347368421	0.690427232330365
Obesity	77	190	28.8947042105263	0.680640640601641
Obesity	78	190	28.7061202631579	0.719111719433421
Obesity	79	190	27.7808747368421	0.618199505399448
Obesity	80	190	27.9170936842105	0.643989442844319
Obesity	81	190	28.0134186842105	0.620883688290822
Obesity	82	190	28.2446855263158	0.64565121826757
Obesity	83	190	28.7515047368421	0.674421045266275
Obesity	84	190	28.3111389473684	0.716551823060164
Obesity	85	190	28.7731963157895	0.620637595058967
Obesity	86	190	28.3053847368421	0.722409180529979
Obesity	87	190	28.6130873684211	0.667612942571624
Obesity	88	190	27.9357681578947	0.661786932162229
Obesity	89	190	28.6119457894737	0.762359707812255
Obesity	90	190	28.5311760526316	0.666904604004746
Obesity	91	190	28.5359531578947	0.702318746821933
Obesity	92	190	27.9834315789474	0.684836686148416
Obesity	93	190	28.3254973684211	0.661028589537751
Obesity	94	190	28.5928639473684	0.764278612358332
Obesity	95	190	28.0630071052632	0.652741151999622
Obesity	96	190	27.9864228947368	0.621287029390294
Obesity	97	190	29.1783873684211	0.740116971063845
Obesity	98	190	29.3330421052632	0.743399653223473
Obesity	99	190	28.4841026315789	0.688016016569145
Obesity	100	190	29.2390607894737	0.695320906568881
Obesity	Carrier	31	29.7506951612903	1.60748349208546
