Variable	Estimate	Std. Error	t value	Pr(>|t|)	Condition	restrict_lipid_meds
PC3	385.099191287922	566.944523968299	0.679253745309047	0.49918553947279	Low LDL	TRUE
PC4	537.623840536983	484.209498191053	1.11031246298447	0.270610626988071	Low LDL	TRUE
PC5	-241.009635801814	495.179129490416	-0.486712022879144	0.627961548342657	Low LDL	TRUE
PC6	74.8465266635764	516.095313381243	0.145024619916063	0.885102342753151	Low LDL	TRUE
PC7	593.389841700316	563.837639724483	1.05241260939989	0.296178905158687	Low LDL	TRUE
PC8	515.550645284225	447.701210466012	1.151550706659	0.253368815982223	Low LDL	TRUE
PC9	-322.86247418921	508.061497789123	-0.635479121315385	0.527158912092044	Low LDL	TRUE
PC10	696.992676205242	447.904036851176	1.55612055007405	0.124126008702583	Low LDL	TRUE
(Intercept)	257.537025650047	52.4480198345498	4.91032886393923	5.86118146125618e-06	High LDL	FALSE
prs	-0.879187563429201	6.09182486646642	-0.14432252776485	0.885666499315741	High LDL	FALSE
age	-0.968015669041502	0.877831878405691	-1.10273469539475	0.273973758012228	High LDL	FALSE
SEXMale	5.10152589664232	13.1145507208665	0.388997382009076	0.698475957992634	High LDL	FALSE
PC1	460.928171814631	393.274070235189	1.17202787241728	0.245216795245824	High LDL	FALSE
PC2	-261.394300630396	430.264700156995	-0.607519744322549	0.545500304646404	High LDL	FALSE
PC3	2154.31853044313	835.591623419251	2.57819546063379	0.012069466774865	High LDL	FALSE
PC4	-485.956238081898	1000.18340849754	-0.485867125922326	0.628600790589356	High LDL	FALSE
PC5	238.507967495291	794.570138915708	0.300172326914733	0.764948210386421	High LDL	FALSE
PC6	-595.932868699017	791.294455058751	-0.753111392212108	0.453944958463137	High LDL	FALSE
PC7	-194.538794374809	1045.65348579947	-0.186045183243539	0.852955199930708	High LDL	FALSE
PC8	766.584702252125	1013.69977391009	0.756224596258139	0.452088752314628	High LDL	FALSE
PC9	2980.6837902741	857.12279821251	3.47754580381035	0.000880328765836278	High LDL	FALSE
PC10	-237.343778016051	684.085315733569	-0.346950552156699	0.729684417704544	High LDL	FALSE
(Intercept)	218.881495634271	70.5748811353802	3.10140792464675	0.0112237095159362	High LDL	TRUE
prs	-10.4431167214488	15.1332840539902	-0.690076039291368	0.505845514083329	High LDL	TRUE
age	-0.699885776245135	1.25105991338639	-0.559434259507742	0.588175208135513	High LDL	TRUE
SEXMale	-22.659589112194	20.7760215560308	-1.09066064699073	0.301004199745959	High LDL	TRUE
PC1	157.63976070684	1142.23287302416	0.138010176759732	0.892971816153981	High LDL	TRUE
PC2	708.048048508915	777.260691535727	0.910953115498405	0.383753234347029	High LDL	TRUE
PC3	1823.49054029097	2402.543317104	0.7589834186586	0.465376183289329	High LDL	TRUE
PC4	-2624.24229844329	1617.3012594195	-1.62260573480615	0.135738685878623	High LDL	TRUE
PC5	3226.31026766204	1343.12516172646	2.40209204592291	0.0371824928005874	High LDL	TRUE
PC6	2193.1764723355	1612.35384297412	1.3602327317247	0.203628478109635	High LDL	TRUE
PC7	2324.65656589293	2421.40303303464	0.960045285389576	0.359669766942513	High LDL	TRUE
PC8	-298.667212451488	1492.20312337452	-0.200151847810151	0.845373589081663	High LDL	TRUE
PC9	-2462.01677245489	2679.63124198367	-0.918789396794877	0.379833893483682	High LDL	TRUE
PC10	-691.364465962505	1405.80295918554	-0.491793292541546	0.633481393121848	High LDL	TRUE
(Intercept)	83.3931710749372	70.6162067583083	1.18093529662899	0.282314955753152	High HDL	FALSE
prs	17.5179239354544	4.92289238979136	3.55846168236004	0.0119493224827943	High HDL	FALSE
age	0.140084917351605	1.12059330565931	0.125009596830659	0.904599213062777	High HDL	FALSE
SEXMale	9.28145238253089	14.8580512228127	0.624674948507402	0.555179374540408	High HDL	FALSE
PC1	599.421661555908	799.673428303093	0.749583067712879	0.481851079732639	High HDL	FALSE
PC2	-35.726478932273	781.722601049008	-0.0457022464034313	0.965030706421133	High HDL	FALSE
PC3	1948.79292462461	1355.12688755407	1.43808889228231	0.200452065987852	High HDL	FALSE
PC4	9.94553108766889	1784.72600363114	0.0055725814872614	0.99573440663345	High HDL	FALSE
PC5	-426.885248041049	1100.539662016	-0.387887200047902	0.711487369953627	High HDL	FALSE
PC6	-5266.49338435668	3588.83421089649	-1.4674663344343	0.192621221096452	High HDL	FALSE
PC7	51.1542031791074	1945.96017748616	0.0262873843827522	0.979880616306469	High HDL	FALSE
PC8	4601.15025930194	2684.60117846344	1.71390458151235	0.137376369886033	High HDL	FALSE
PC9	597.872481577809	614.893183927704	0.97231925349835	0.368442581460024	High HDL	FALSE
PC10	1038.94820446999	1345.76884261951	0.772010891891137	0.469413840911485	High HDL	FALSE
(Intercept)	483.580008991512	182.853675036002	2.64462832861467	0.0116282330314458	High triglycerides	FALSE
prs	80.5739542243663	31.1733296915915	2.58470798665116	0.0135004286231462	High triglycerides	FALSE
age	-3.56347070853135	3.10827600843996	-1.14644603595543	0.258422658987147	High triglycerides	FALSE
SEXMale	68.756251621703	48.9235751521255	1.40538076802255	0.167627782016942	High triglycerides	FALSE
PC1	-2545.36128860162	3808.10012680941	-0.668407133174366	0.507712790131281	High triglycerides	FALSE
PC2	199.125325301191	3451.9061545003	0.057685613799665	0.954286265627258	High triglycerides	FALSE
PC3	503.851765673195	2556.00091944425	0.197125033031188	0.844727949174214	High triglycerides	FALSE
PC4	-9861.3245932712	4523.92089432167	-2.1798180878116	0.0352159906566417	High triglycerides	FALSE
PC5	5470.8381644242	4174.64754007764	1.31049103233334	0.197504955339452	High triglycerides	FALSE
PC6	4146.78247752531	3628.09086410712	1.14296544183874	0.259847945232324	High triglycerides	FALSE
PC7	-5517.68030387473	5970.94916293453	-0.924087637209587	0.360981992830251	High triglycerides	FALSE
PC8	536.861428334091	3820.26969271786	0.140529719500549	0.888946771877241	High triglycerides	FALSE
PC9	-1317.26033321202	2971.61389031403	-0.443281119901084	0.659950793953935	High triglycerides	FALSE
PC10	8439.31792660458	3896.60296939649	2.16581417015952	0.0363437206884048	High triglycerides	FALSE
(Intercept)	24.9061098484727	8.11520328800743	3.06906789202419	0.00694993982329185	Obesity	FALSE
prs	1.48023167304902	0.947797167317821	1.56175996731235	0.136766923566392	Obesity	FALSE
age	0.0939785354397187	0.144573930985572	0.650037906551062	0.524355514577599	Obesity	FALSE
SEXMale	-1.48887270872693	2.50666213935364	-0.593966249121568	0.560356273286075	Obesity	FALSE
PC1	41.5072222866532	93.1637739626517	0.445529635835631	0.661558626994263	Obesity	FALSE
PC2	-69.1567089294886	78.3308202979445	-0.88287992729349	0.389615469716813	Obesity	FALSE
PC3	-152.015050704332	152.738216493384	-0.995265325171036	0.333563569213888	Obesity	FALSE
PC4	-188.312871529443	116.555009213262	-1.61565661399319	0.124573717625683	Obesity	FALSE
PC5	-226.612237420008	119.135693351824	-1.90213554850258	0.0742353939599094	Obesity	FALSE
PC6	-115.979264986037	130.274313304425	-0.890269632164685	0.385747202535743	Obesity	FALSE
PC7	-52.4244075264973	162.149061191327	-0.323309966405784	0.750403599690887	Obesity	FALSE
PC8	-20.0197945871164	120.470489447612	-0.166180071807728	0.869975661376009	Obesity	FALSE
PC9	50.1833315383123	117.175182649104	0.428276111065196	0.673826997029727	Obesity	FALSE
PC10	115.084392113674	163.062393759274	0.70576905845974	0.489891187751509	Obesity	FALSE
(Intercept)	4.81968317352681	5.99533983424012	0.803904917282755	0.505816576876355	MODY	FALSE
prs	-0.284876798061658	0.547296014987524	-0.520516850589807	0.654592172967509	MODY	FALSE
age	-0.0805082757088878	0.109648745359076	-0.734238001951052	0.539216955141136	MODY	FALSE
SEXMale	0.240584078655435	1.34600238293257	0.178739712281391	0.874609460196592	MODY	FALSE
PC1	100.39950446555	136.389369904795	0.736124116825473	0.538285372042361	MODY	FALSE
PC2	62.0213083844546	111.731504178672	0.555092396190022	0.634627906032835	MODY	FALSE
PC3	8.91326703179507	46.8425435896531	0.190281448203934	0.866652314557871	MODY	FALSE
PC4	-54.2668403152004	61.2038290651855	-0.886657602049754	0.468806462477993	MODY	FALSE
PC5	3.70262111986591	43.0823457983659	0.0859428856821057	0.939341108880828	MODY	FALSE
PC6	9.50318844355916	59.3583172253906	0.160098683516826	0.887511654203891	MODY	FALSE
PC7	-18.4042774090549	72.7266674877259	-0.25306092035856	0.823856733280624	MODY	FALSE
PC8	4.55187610058122	107.804151819514	0.0422235695356332	0.970156726062221	MODY	FALSE
PC9	-135.744290079683	253.840556789321	-0.534762024621409	0.64630798488033	MODY	FALSE
PC10	-4.27672770374069	41.552988829997	-0.102922264418518	0.927414938292789	MODY	FALSE
