Variable	Estimate	Std. Error	t value	Pr(>|t|)	Condition	restrict_lipid_meds
(Intercept)	67.5958498315413	24.9334175698988	2.7110543366966	0.00828808453677399	Low LDL	FALSE
prs	-3.89171772204782	3.19753319172751	-1.21710002326677	0.227332062524456	Low LDL	FALSE
age	0.530079920462361	0.413581941682202	1.2816805257655	0.203851165974482	Low LDL	FALSE
SEXMale	-17.2789265092395	6.69046250486707	-2.58262063297862	0.0117269586159482	Low LDL	FALSE
PC1	-93.8848128795558	240.773007301199	-0.389930806330416	0.697678369650408	Low LDL	FALSE
PC2	98.9029265497003	299.415644105621	0.330319836310262	0.742067158590938	Low LDL	FALSE
PC3	290.880064213528	571.027066169424	0.509398032854758	0.611949194311782	Low LDL	FALSE
PC4	556.029135602158	487.846865859544	1.13976162298897	0.257965051720052	Low LDL	FALSE
PC5	-196.877717831659	495.770801556379	-0.397114386756134	0.692396150238247	Low LDL	FALSE
PC6	99.6930790670789	508.35314130514	0.196109890874536	0.845047583830014	Low LDL	FALSE
PC7	553.383450093909	559.997607237063	0.988188954635384	0.326195829546293	Low LDL	FALSE
PC8	546.50883954679	448.440978585664	1.21868621656839	0.226732704135246	Low LDL	FALSE
PC9	-473.289176892442	505.682438595214	-0.935941493652103	0.352267858054242	Low LDL	FALSE
PC10	803.87632388612	445.086415561353	1.80611291601037	0.0748598325424611	Low LDL	FALSE
(Intercept)	78.6308358089229	25.8774491146248	3.03858527402085	0.00332524895811417	Low LDL	TRUE
prs	-3.9361894138667	3.22395363436767	-1.22091998219408	0.226155386577072	Low LDL	TRUE
age	0.343750154220505	0.430830716536834	0.797877544534633	0.42760210968771	Low LDL	TRUE
SEXMale	-19.9335116206738	6.8647638743562	-2.90374322926631	0.00491054996061868	Low LDL	TRUE
PC1	-94.5956940590679	238.712881971274	-0.396273939126802	0.693091402834248	Low LDL	TRUE
PC2	139.926317651591	301.091368651551	0.464730418139371	0.643546587740523	Low LDL	TRUE
