Gene_name	Disease	phenotype	Stratify	Transform
ABCC8	MODY Extended	bmi	NA	ln
ABCC8	MODY Extended	ldl_mgdl	NA	NA
ABCC8	MODY Extended	hdl_mgdl	NA	ln
ABCC8	MODY Extended	tg_mgdl	NA	ln
ABCC8	MODY Extended	t2d_with_pre	NA	NA
ABCC8	MonogenicDM_all	t2d_with_pre	NA	NA
ABCC8	Neonatal Diabetes	t2d_with_pre	NA	NA
ABCC8	MonogenicDM_all	bmi	NA	ln
ABCC8	Neonatal Diabetes	bmi	NA	ln
ABCC8	MonogenicDM_all	tg_mgdl	NA	ln
ABCC8	Neonatal Diabetes	tg_mgdl	NA	ln
ABCC8	MonogenicDM_all	hdl_mgdl	NA	ln
ABCC8	Neonatal Diabetes	hdl_mgdl	NA	ln
ABCC8	MonogenicDM_all	ldl_mgdl	NA	NA
ABCC8	Neonatal Diabetes	ldl_mgdl	NA	NA
AKT2	Lipodystrophy	t2d_with_pre	NA	NA
AKT2	Lipodystrophy	bmi	NA	ln
AKT2	Lipodystrophy	tg_mgdl	NA	ln
AKT2	Lipodystrophy	hdl_mgdl	NA	ln
AKT2	Lipodystrophy	ldl_mgdl	NA	NA
AKT2	MODY Extended	bmi	NA	ln
AKT2	MODY Extended	ldl_mgdl	NA	NA
AKT2	MODY Extended	hdl_mgdl	NA	ln
AKT2	MODY Extended	tg_mgdl	NA	ln
AKT2	MODY Extended	t2d_with_pre	NA	NA
AKT2	MonogenicDM_all	t2d_with_pre	NA	NA
AKT2	MonogenicDM_all	bmi	NA	ln
AKT2	MonogenicDM_all	tg_mgdl	NA	ln
AKT2	MonogenicDM_all	hdl_mgdl	NA	ln
AKT2	MonogenicDM_all	ldl_mgdl	NA	NA
APOA1	Low HDL	hdl_mgdl	NA	NA
APOA5	High triglycerides	tg_mgdl	NA	ln
APOB	High LDL	ldl_mgdl	NA	NA
APOB	Low LDL	ldl_mgdl	NA	NA
APPL1	MODY Extended	bmi	NA	ln
APPL1	MODY Extended	ldl_mgdl	NA	NA
APPL1	MODY Extended	hdl_mgdl	NA	ln
APPL1	MODY Extended	tg_mgdl	NA	ln
APPL1	MODY Extended	t2d_with_pre	NA	NA
APPL1	MonogenicDM_all	t2d_with_pre	NA	NA
APPL1	MonogenicDM_all	bmi	NA	ln
APPL1	MonogenicDM_all	tg_mgdl	NA	ln
APPL1	MonogenicDM_all	hdl_mgdl	NA	ln
APPL1	MonogenicDM_all	ldl_mgdl	NA	NA
CEL	MODY Extended	bmi	NA	ln
CEL	MODY Extended	ldl_mgdl	NA	NA
CEL	MODY Extended	hdl_mgdl	NA	ln
CEL	MODY Extended	tg_mgdl	NA	ln
CEL	MODY Extended	t2d_with_pre	NA	NA
CEL	MonogenicDM_all	t2d_with_pre	NA	NA
CEL	MonogenicDM_all	bmi	NA	ln
CEL	MonogenicDM_all	tg_mgdl	NA	ln
CEL	MonogenicDM_all	hdl_mgdl	NA	ln
CEL	MonogenicDM_all	ldl_mgdl	NA	NA
CETP	High HDL	hdl_mgdl	NA	ln
GATA4	MonogenicDM_all	t2d_with_pre	NA	NA
GATA4	Neonatal Diabetes	t2d_with_pre	NA	NA
GATA4	MonogenicDM_all	bmi	NA	ln
GATA4	Neonatal Diabetes	bmi	NA	ln
GATA4	MonogenicDM_all	tg_mgdl	NA	ln
GATA4	Neonatal Diabetes	tg_mgdl	NA	ln
GATA4	MonogenicDM_all	hdl_mgdl	NA	ln
GATA4	Neonatal Diabetes	hdl_mgdl	NA	ln
GATA4	MonogenicDM_all	ldl_mgdl	NA	NA
